,price
0,240000.0
1,287000.0
2,480000.0
3,465000.0
4,360000.0
5,230000.0
6,252000.0
7,227950.0
8,196000.0
9,305000.0
10,243000.0
11,233000.0
12,249900.0
13,205000.0
14,196500.0
15,199950.0
16,289000.0
17,249900.0
18,100000.0
19,320000.0
20,267000.0
21,350000.0
22,355000.0
23,250000.0
24,355000.0
25,299000.0
26,330000.0
27,196440.0
28,429000.0
29,189950.0
30,215500.0
31,206000.0
32,210000.0
33,284200.0
34,272000.0
35,185000.0
36,332000.0
37,238000.0
38,213550.0
39,230000.0
40,262000.0
41,175000.0
42,235000.0
43,165000.0
44,276000.0
45,265000.0
46,259000.0
47,225000.0
48,354450.0
49,352000.0
50,210500.0
51,276000.0
52,299950.0
53,279000.0
54,329500.0
55,196000.0
56,515000.0
57,180000.0
58,225000.0
59,115000.0
60,195000.0
61,299950.0
62,299000.0
63,201700.0
64,194820.0
65,286950.0
66,250000.0
67,215000.0
68,212500.0
69,382450.0
70,269950.0
71,221000.0
72,263400.0
73,267500.0
74,224000.0
75,330000.0
76,359000.0
77,214100.0
78,482000.0
79,340000.0
80,465000.0
81,299000.0
82,198000.0
83,169000.0
84,195000.0
85,250000.0
86,260000.0
87,260000.0
88,430000.0
89,339000.0
90,215000.0
91,230000.0
92,285000.0
93,277500.0
94,260000.0
95,639900.0
96,420000.0
97,275000.0
98,239950.0
99,239950.0
100,286000.0
101,280000.0
102,254000.0
103,204900.0
104,850000.0
105,265000.0
106,175000.0
107,269500.0
108,286651.0
109,270000.0
110,415000.0
111,241000.0
112,302000.0
113,265000.0
114,449888.0
115,263000.0
116,384000.0
117,190000.0
118,184000.0
119,255000.0
120,220000.0
121,160000.0
122,375000.0
123,225000.0
124,259900.0
125,260000.0
126,170000.0
127,317000.0
128,335000.0
129,359500.0
130,248000.0
131,265000.0
132,215000.0
133,139000.0
134,199129.0
135,285000.0
136,280000.0
137,240000.0
138,214000.0
139,275000.0
140,274000.0
141,204700.0
142,169100.0
143,250000.0
144,370000.0
145,571500.0
146,182500.0
147,551870.0
148,250600.0
149,541500.0
150,303000.0
151,200000.0
152,219000.0
153,225000.0
154,360000.0
155,124500.0
156,292500.0
157,270000.0
158,305000.0
159,285000.0
160,239950.0
161,226500.0
162,370000.0
163,248000.0
164,340000.0
165,238000.0
166,250000.0
167,209000.0
168,411000.0
169,229500.0
170,310000.0
171,255000.0
172,280000.0
173,420000.0
174,256000.0
175,246900.0
176,199950.0
177,233000.0
178,299900.0
179,299999.0
180,178500.0
181,232000.0
182,271920.0
183,257000.0
184,210000.0
185,247000.0
186,115000.0
187,227000.0
188,198000.0
189,185900.0
190,235000.0
191,190848.0
192,314950.0
193,185000.0
194,174000.0
195,184000.0
196,313100.0
197,166000.0
198,165000.0
199,132500.0
200,290000.0
201,206000.0
202,485000.0
203,500000.0
204,429000.0
205,270000.0
206,227000.0
207,300000.0
208,201000.0
209,372000.0
210,215000.0
211,199900.0
212,207000.0
213,367950.0
214,262500.0
215,289000.0
216,300000.0
217,321500.0
218,245000.0
219,199000.0
220,175000.0
221,234000.0
222,234950.0
223,171500.0
224,234500.0
225,246000.0
226,220000.0
227,229950.0
228,290000.0
229,250000.0
230,215500.0
231,289000.0
232,234950.0
233,285000.0
234,335000.0
235,220000.0
236,367300.0
237,535000.0
238,321000.0
239,230000.0
240,289950.0
241,250000.0
242,175000.0
243,360000.0
244,389000.0
245,100000.0
246,162500.0
247,205000.0
248,409000.0
249,172500.0
250,245000.0
251,276000.0
252,264500.0
253,154000.0
254,225000.0
255,215000.0
256,455000.0
257,340000.0
258,212000.0
259,280000.0
260,274950.0
261,280000.0
262,295000.0
263,338500.0
264,250000.0
265,245000.0
266,237000.0
267,234950.0
268,278000.0
269,210000.0
270,150000.0
271,190000.0
272,182500.0
273,175000.0
274,299000.0
275,197000.0
276,305000.0
277,287600.0
278,258000.0
279,199500.0
280,220000.0
281,179900.0
282,270000.0
283,425000.0
284,287500.0
285,255000.0
286,315000.0
287,363000.0
288,240000.0
289,225000.0
290,260000.0
291,230000.0
292,637000.0
293,260000.0
294,290000.0
295,160000.0
296,194250.0
297,222400.0
298,183500.0
299,625000.0
300,310000.0
301,254999.0
302,460000.0
303,230000.0
304,205000.0
305,168000.0
306,225000.0
307,159000.0
308,199900.0
309,328000.0
310,359000.0
311,250000.0
312,349500.0
313,355000.0
314,331210.0
315,272000.0
316,215000.0
317,275000.0
318,245000.0
319,351000.0
320,254950.0
321,309000.0
322,370228.0
323,205000.0
324,216000.0
325,255000.0
326,415000.0
327,427000.0
328,453000.0
329,552900.0
330,524225.0
331,349950.0
332,424000.0
333,317500.0
334,345500.0
335,260000.0
336,499160.0
337,329995.0
338,353000.0
339,447500.0
340,270500.0
341,457000.0
342,274900.0
343,280000.0
344,110000.0
345,353500.0
346,255000.0
347,549950.0
348,510000.0
349,277950.0
350,375900.0
351,215000.0
352,235245.0
353,375500.0
354,349950.0
355,495000.0
356,269950.0
357,312891.0
358,480000.0
359,341780.0
360,541800.0
361,189000.0
362,233000.0
363,225000.0
364,250000.0
365,266000.0
366,200000.0
367,214000.0
368,234000.0
369,218500.0
370,208000.0
371,249950.0
372,224000.0
373,247500.0
374,180000.0
375,176250.0
376,370000.0
377,250000.0
378,208000.0
379,183000.0
380,210000.0
381,280000.0
382,300000.0
383,175000.0
384,161500.0
385,254600.0
386,250750.0
387,219950.0
388,255000.0
389,257200.0
390,222000.0
391,206000.0
392,213500.0
393,188200.0
394,95000.0
395,276000.0
396,125000.0
397,245000.0
398,270000.0
399,285000.0
400,183000.0
401,156000.0
402,238000.0
403,245000.0
404,190000.0
405,248500.0
406,195000.0
407,199950.0
408,233500.0
409,235000.0
410,150000.0
411,215000.0
412,257500.0
413,111300.0
414,142500.0
415,269000.0
416,230000.0
417,239000.0
418,154950.0
419,197000.0
420,225500.0
421,279950.0
422,286285.0
423,194900.0
424,187000.0
425,224950.0
426,135000.0
427,195000.0
428,330000.0
429,319450.0
430,292500.0
431,245000.0
432,193000.0
433,186000.0
434,389000.0
435,288000.0
436,224000.0
437,236000.0
438,200000.0
439,224000.0
440,275000.0
441,305000.0
442,160000.0
443,200000.0
444,112000.0
445,235000.0
446,225000.0
447,215000.0
448,125000.0
449,208000.0
450,250000.0
451,205000.0
452,184500.0
453,195000.0
454,222000.0
455,207000.0
456,235000.0
457,272000.0
458,269950.0
459,189000.0
460,255000.0
461,185000.0
462,250000.0
463,294400.0
464,140000.0
465,249500.0
466,128750.0
467,190000.0
468,292000.0
469,250000.0
470,246000.0
471,150000.0
472,247200.0
473,220000.0
474,269950.0
475,160000.0
476,275000.0
477,179500.0
478,250000.0
479,167000.0
480,159995.0
481,255000.0
482,270000.0
483,270000.0
484,288000.0
485,209950.0
486,235000.0
487,268000.0
488,223000.0
489,208000.0
490,195500.0
491,265000.0
492,292000.0
493,265000.0
494,270000.0
495,180000.0
496,250000.0
497,367500.0
498,205000.0
499,202500.0
500,257000.0
501,201000.0
502,190000.0
503,189000.0
504,340000.0
505,163500.0
506,300000.0
507,137000.0
508,315000.0
509,265000.0
510,219000.0
511,235000.0
512,219500.0
513,217000.0
514,206000.0
515,230000.0
516,279950.0
517,315000.0
518,235000.0
519,148900.0
520,229500.0
521,189900.0
522,219200.0
523,206000.0
524,237950.0
525,247500.0
526,232603.0
527,234000.0
528,185000.0
529,260000.0
530,229950.0
531,193000.0
532,329900.0
533,319500.0
534,319900.0
535,263000.0
536,292000.0
537,285000.0
538,260000.0
539,240000.0
540,298000.0
541,289950.0
542,300000.0
543,267000.0
544,319900.0
545,265000.0
546,273500.0
547,297000.0
548,255900.0
549,261000.0
550,282900.0
551,275000.0
552,298900.0
553,300000.0
554,343000.0
555,260000.0
556,223990.0
557,250000.0
558,259000.0
559,335900.0
560,257500.0
561,230000.0
562,199000.0
563,220000.0
564,282950.0
565,472000.0
566,225000.0
567,210000.0
568,335000.0
569,264000.0
570,314500.0
571,290000.0
572,215000.0
573,232500.0
574,216000.0
575,253000.0
576,515000.0
577,275000.0
578,179950.0
579,375000.0
580,280000.0
581,235000.0
582,245000.0
583,229000.0
584,410500.0
585,740000.0
586,240000.0
587,333000.0
588,357000.0
589,369160.0
590,255000.0
591,299500.0
592,280000.0
593,356500.0
594,265000.0
595,649000.0
596,169575.0
597,250000.0
598,190000.0
599,190000.0
600,212000.0
601,175000.0
602,283200.0
603,153503.0
604,590000.0
605,304000.0
606,314900.0
607,335000.0
608,225000.0
609,425000.0
610,235500.0
611,318700.0
612,222000.0
613,273000.0
614,530000.0
615,345000.0
616,205500.0
617,219000.0
618,248000.0
619,261000.0
620,350000.0
621,219950.0
622,285000.0
623,308000.0
624,379000.0
625,215000.0
626,294700.0
627,200000.0
628,140000.0
629,241500.0
630,360000.0
631,375000.0
632,350000.0
633,212000.0
634,258750.0
635,315000.0
636,230000.0
637,229900.0
638,219000.0
639,253000.0
640,236000.0
641,560000.0
642,302000.0
643,359000.0
644,256400.0
645,465000.0
646,210500.0
647,325000.0
648,239999.0
649,225000.0
650,221000.0
651,314500.0
652,237000.0
653,219900.0
654,380000.0
655,225000.0
656,358000.0
657,266000.0
658,252500.0
659,475000.0
660,278000.0
661,280400.0
662,258000.0
663,285000.0
664,452000.0
665,320000.0
666,560000.0
667,318000.0
668,275000.0
669,281000.0
670,349950.0
671,284850.0
672,338000.0
673,299000.0
674,310000.0
675,235000.0
676,295000.0
677,263500.0
678,285000.0
679,255000.0
680,309900.0
681,257000.0
682,279000.0
683,244000.0
684,460000.0
685,260750.0
686,215000.0
687,329000.0
688,306500.0
689,325000.0
690,260000.0
691,230000.0
692,583000.0
693,245000.0
694,383150.0
695,395000.0
696,350000.0
697,350000.0
698,262500.0
699,342000.0
700,304500.0
701,345000.0
702,420000.0
703,379750.0
704,265000.0
705,305000.0
706,297262.0
707,291000.0
708,465000.0
709,280000.0
710,225000.0
711,236000.0
712,182000.0
713,128000.0
714,334950.0
715,275900.0
716,514500.0
717,225000.0
718,286500.0
719,191950.0
720,810000.0
721,250000.0
722,250000.0
723,263000.0
724,247000.0
725,279900.0
726,219950.0
727,310000.0
728,242000.0
729,197400.0
730,485000.0
731,325000.0
732,305000.0
733,172000.0
734,239000.0
735,297000.0
736,230500.0
737,450000.0
738,227490.0
739,158000.0
740,258500.0
741,245000.0
742,316000.0
743,160000.0
744,269000.0
745,250000.0
746,210000.0
747,276000.0
748,200000.0
749,217500.0
750,210000.0
751,345000.0
752,235500.0
753,240000.0
754,170000.0
755,199950.0
756,229000.0
757,230000.0
758,290000.0
759,200126.0
760,645000.0
761,156000.0
762,194000.0
763,267000.0
764,242000.0
765,312200.0
766,179000.0
767,152500.0
768,267950.0
769,299500.0
770,360000.0
771,299000.0
772,155000.0
773,250000.0
774,550000.0
775,287000.0
776,225900.0
777,250000.0
778,220000.0
779,205000.0
780,335000.0
781,183000.0
782,279000.0
783,240000.0
784,300000.0
785,549000.0
786,229900.0
787,215000.0
788,253500.0
789,207000.0
790,190500.0
791,221000.0
792,336000.0
793,205000.0
794,280000.0
795,240000.0
796,298000.0
797,275000.0
798,247500.0
799,251000.0
800,272000.0
801,375000.0
802,429900.0
803,225000.0
804,199000.0
805,302000.0
806,209950.0
807,339900.0
808,248500.0
809,355000.0
810,320000.0
811,280000.0
812,315000.0
813,242000.0
814,635000.0
815,389000.0
816,239000.0
817,260000.0
818,253400.0
819,174500.0
820,186950.0
821,390000.0
822,247500.0
823,280000.0
824,215000.0
825,208000.0
826,265000.0
827,335000.0
828,270000.0
829,450000.0
830,250000.0
831,205000.0
832,480000.0
833,340768.0
834,384435.0
835,349900.0
836,379900.0
837,950000.0
838,298450.0
839,333490.0
840,975000.0
841,1325000.0
842,1088000.0
843,1450000.0
844,2900000.0
845,927000.0
846,1300000.0
847,727500.0
848,888000.0
849,980000.0
850,824000.0
851,1270000.0
852,1321500.0
853,730000.0
854,850000.0
855,2300000.0
856,2260000.0
857,5350000.0
858,935000.0
859,1375000.0
860,1928000.0
861,1430000.0
862,1635000.0
863,735000.0
864,950000.0
865,760000.0
866,1550000.0
867,2750000.0
868,993000.0
869,1400000.0
870,1544500.0
871,985000.0
872,1600000.0
873,1865000.0
874,895000.0
875,1065000.0
876,1000750.0
877,1150000.0
878,845000.0
879,3000000.0
880,950000.0
881,2288000.0
882,1901000.0
883,1208000.0
884,805500.0
885,1306000.0
886,1965000.0
887,2075000.0
888,950000.0
889,650000.0
890,1100000.0
891,1230000.0
892,569000.0
893,1575000.0
894,712500.0
895,641000.0
896,2450000.0
897,816000.0
898,772000.0
899,680000.0
900,7062500.0
901,1145000.0
902,1495000.0
903,1350000.0
904,2150000.0
905,979000.0
906,1191000.0
907,2400000.0
908,800000.0
909,1670000.0
910,810000.0
911,1405000.0
912,949880.0
913,921000.0
914,760000.0
915,1895000.0
916,1940000.0
917,875000.0
918,1500000.0
919,635000.0
920,985000.0
921,725000.0
922,1691000.0
923,898000.0
924,1419000.0
925,1470000.0
926,990400.0
927,810000.0
928,641200.0
929,1200000.0
930,800000.0
931,650000.0
932,650000.0
933,1050000.0
934,1965220.0
935,1450000.0
936,800000.0
937,850000.0
938,900000.0
939,815000.0
940,775000.0
941,1875000.0
942,800000.0
943,1430000.0
944,775000.0
945,750000.0
946,1155000.0
947,2175000.0
948,3800000.0
949,1038000.0
950,1490000.0
951,1245000.0
952,1600000.0
953,600000.0
954,825000.0
955,1270000.0
956,1000000.0
957,860000.0
958,1646000.0
959,1824100.0
960,760000.0
961,787000.0
962,915000.0
963,1014250.0
964,898000.0
965,1208000.0
966,1590000.0
967,4489000.0
968,780000.0
969,625000.0
970,843500.0
971,685000.0
972,903000.0
973,2575000.0
974,1362500.0
975,1698000.0
976,1780000.0
977,700000.0
978,1565000.0
979,865000.0
980,1388000.0
981,999950.0
982,875000.0
983,610000.0
984,745000.0
985,1700000.0
986,730000.0
987,1013050.0
988,1582500.0
989,1650000.0
990,1557600.0
991,1130000.0
992,1000000.0
993,770000.0
994,1450000.0
995,1600000.0
996,1800000.0
997,1170000.0
998,607000.0
999,650000.0
1000,3200000.0
1001,1185000.0
1002,695000.0
1003,1620000.0
1004,1400000.0
1005,1500000.0
1006,1110000.0
1007,626000.0
1008,2135000.0
1009,1450000.0
1010,650000.0
1011,815000.0
1012,1650000.0
1013,895000.0
1014,1650000.0
1015,943500.0
1016,899000.0
1017,1890000.0
1018,745000.0
1019,1030000.0
1020,2535000.0
1021,945000.0
1022,1100000.0
1023,2408000.0
1024,1749000.0
1025,870000.0
1026,860000.0
1027,1610000.0
1028,672000.0
1029,915000.0
1030,667500.0
1031,1700000.0
1032,1148000.0
1033,860000.0
1034,3168750.0
1035,1775000.0
1036,1240000.0
1037,765000.0
1038,1900000.0
1039,1795000.0
1040,1886700.0
1041,975000.0
1042,720000.0
1043,830000.0
1044,875000.0
1045,2200000.0
1046,920000.0
1047,1989000.0
1048,1000000.0
1049,860000.0
1050,725000.0
1051,1500000.0
1052,1050000.0
1053,723000.0
1054,1580000.0
1055,1034500.0
1056,1770000.0
1057,1950000.0
1058,1900000.0
1059,1300000.0
1060,1398000.0
1061,2300000.0
1062,635250.0
1063,780000.0
1064,990000.0
1065,839000.0
1066,1825000.0
1067,925000.0
1068,1675000.0
1069,595000.0
1070,965800.0
1071,865000.0
1072,1565000.0
1073,782000.0
1074,1346400.0
1075,987000.0
1076,1190000.0
1077,915000.0
1078,1300000.0
1079,2328000.0
1080,1058000.0
1081,781000.0
1082,1220000.0
1083,1980000.0
1084,1810000.0
1085,1100000.0
1086,1150000.0
1087,605000.0
1088,825000.0
1089,1388000.0
1090,3100000.0
1091,650000.0
1092,640000.0
1093,2500000.0
1094,1629000.0
1095,1802750.0
1096,1388000.0
1097,530000.0
1098,1562000.0
1099,425000.0
1100,725000.0
1101,1210000.0
1102,1444000.0
1103,1735000.0
1104,921000.0
1105,750000.0
1106,1728000.0
1107,3650000.0
1108,1650000.0
1109,1100000.0
1110,1315000.0
1111,1027000.0
1112,1945000.0
1113,1500000.0
1114,1050000.0
1115,725000.0
1116,980000.0
1117,650000.0
1118,746000.0
1119,770126.0
1120,1388000.0
1121,968000.0
1122,1980000.0
1123,875000.0
1124,640000.0
1125,1264000.0
1126,1850000.0
1127,1450000.0
1128,2641100.0
1129,2320000.0
1130,1563100.0
1131,1695000.0
1132,1266520.0
1133,1750000.0
1134,1750000.0
1135,2150000.0
1136,3204000.0
1137,2998000.0
1138,3345000.0
1139,1699990.0
1140,1898000.0
1141,798500.0
1142,1940000.0
1143,720000.0
1144,910000.0
1145,695000.0
1146,1800000.0
1147,785000.0
1148,950000.0
1149,2065000.0
1150,1765000.0
1151,1987500.0
1152,1750000.0
1153,3000000.0
1154,999999.0
1155,1700000.0
1156,1537000.0
1157,1040000.0
1158,790000.0
1159,849950.0
1160,638700.0
1161,480000.0
1162,1578000.0
1163,856600.0
1164,640000.0
1165,620000.0
1166,635000.0
1167,1300000.0
1168,835100.0
1169,700000.0
1170,550000.0
1171,755000.0
1172,1680000.0
1173,900000.0
1174,900000.0
1175,660000.0
1176,549000.0
1177,565000.0
1178,1272000.0
1179,542500.0
1180,675500.0
1181,720000.0
1182,1799000.0
1183,1003000.0
1184,850000.0
1185,1008000.0
1186,680000.0
1187,566000.0
1188,778000.0
1189,740000.0
1190,949000.0
1191,851500.0
1192,540000.0
1193,1225000.0
1194,577000.0
1195,1010000.0
1196,875000.0
1197,550000.0
1198,910000.0
1199,845000.0
1200,725000.0
1201,900000.0
1202,680000.0
1203,490000.0
1204,576000.0
1205,833000.0
1206,772650.0
1207,813000.0
1208,768500.0
1209,675000.0
1210,815000.0
1211,855000.0
1212,925000.0
1213,1000000.0
1214,657500.0
1215,411100.0
1216,760000.0
1217,800000.0
1218,615000.0
1219,830000.0
1220,1900000.0
1221,890000.0
1222,596000.0
1223,738950.0
1224,935100.0
1225,790000.0
1226,650000.0
1227,659000.0
1228,1325000.0
1229,925000.0
1230,970000.0
1231,556000.0
1232,955000.0
1233,1150000.0
1234,530000.0
1235,830000.0
1236,975000.0
1237,800000.0
1238,729032.0
1239,931088.0
1240,660000.0
1241,530000.0
1242,449228.0
1243,960000.0
1244,1249000.0
1245,788000.0
1246,831000.0
1247,490000.0
1248,732600.0
1249,1150000.0
1250,799000.0
1251,530000.0
1252,950000.0
1253,700000.0
1254,550000.0
1255,617450.0
1256,516000.0
1257,809950.0
1258,735000.0
1259,500000.0
